galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
166698,443546,-1,351.703573778,15.646856367,0.013955,17.5699005,17.7681007,0.8732,-15.4696465,8.2720413,0.5743599
68061,207320,-1,171.987289342,1.299480568,0.015655,17.5600014,17.7812004,0.8302,-15.7641029,8.2972612,0.4366732
23982,91059,-1,201.879549488,0.739126064,0.013807,16.9250011,17.7000008,0.8957,-16.1052837,8.3134346,0.3364973
96689,271787,-1,15.663385389,-9.143663001,0.01516,17.5767002,17.7943001,0.8333,-15.7172174,8.1239853,0.2953682
63640,197874,-1,205.951233885,1.372377402,0.012795,16.8836002,17.7989998,0.8282,-15.9424715,8.2138224,0.228673
230168,642980,-1,139.586699558,6.510212867,0.020334,17.6709003,17.7805996,0.8342,-16.230217,8.2832479,0.2132397
83856,242051,-1,48.396147737,-8.0023411,0.016932,17.6609001,17.6917992,0.8389,-15.8190069,8.3407402,0.4619131
221479,622378,-1,146.037899914,5.936883936,0.010096,17.3005009,17.7768993,0.7884,-15.0292883,8.0802994,0.5593395
158466,418351,-1,204.012267575,-1.608630995,0.014619,17.6678009,17.7667999,0.957,-15.5226536,8.1674128,0.4532394
178836,501098,-1,16.060822419,-0.844528984,0.015401,17.4643002,17.6947994,0.9945,-15.857852,8.0776005,0.2099686
284636,788621,-1,125.743385329,24.864193396,0.018206,17.5584011,17.7936993,0.8647,-16.1538296,8.127017,0.0771446
264183,731611,-1,176.444397616,9.776161468,0.020223,17.6956005,17.7954006,0.8871,-16.2121086,8.2264824,0.1805935
15390,69068,-1,172.242034247,0.879054175,0.019931,17.7082005,17.7120991,0.9487,-16.1560574,8.3266144,0.3427706
1784,7806,-1,41.594881592,-1.171428892,0.020989,17.6375999,17.6441994,0.9617,-16.3297958,8.2658882,0.2335186
309512,844384,-1,177.107314397,12.395233592,0.02224,17.8042011,17.7758007,0.8313,-16.3155785,8.2085304,0.1072407
94860,268067,-1,11.39449225,-10.987162026,0.013694,16.9756012,17.7971992,0.8764,-16.1381474,8.184269,0.2905493
138554,372291,-1,169.016313328,3.567496882,0.020862,17.8220005,17.7859993,0.9455,-16.1400967,8.0924873,0.1092625
6263,35645,-1,9.132135725,0.563264949,0.013725,17.6226006,17.6728001,0.9701,-15.3972197,8.2545948,0.5799646
30002,106385,-1,20.763583152,15.211634817,0.013752,17.1004009,17.6508999,0.9029,-15.9260435,8.2513266,0.3507757
220481,620081,-1,128.730801859,3.814636903,0.014177,17.1403008,17.7744999,0.8567,-16.0093899,8.1852255,0.2433538
67758,206664,-1,204.777262829,3.419248139,0.011407,17.3722,17.8071003,0.8115,-15.247633,8.0826998,0.4819908
69775,210648,-1,205.089093651,1.542344878,0.022639,17.7965012,17.7858009,0.9134,-16.3971119,8.260498,0.191906
158887,419277,-1,204.880043124,-1.279201764,0.022236,17.6928005,17.7702999,0.8712,-16.4218674,8.2881947,0.1703415
172986,466004,-1,13.922138555,-0.941892873,0.015024,17.8621998,17.6984997,1.0,-15.4356136,8.0798273,0.3727112
172849,465746,-1,10.455617833,-1.028191132,0.019142,17.8915005,17.6982994,0.973,-15.9532776,8.024539,0.0471392
76514,226200,-1,213.94839062,4.1600258,0.019229,17.5474014,17.7740993,0.8635,-16.3001652,8.2073364,0.2048759
37834,127674,-1,191.718886567,-1.961213532,0.015974,17.1644001,17.6488991,0.8924,-16.1993694,8.3293219,0.3375111
33004,115831,-1,185.797648898,-3.491078503,0.011223,16.3789997,17.6499004,0.8355,-16.2994366,8.1422491,0.1412163
68358,207836,-1,191.490588795,1.298039939,0.017299,17.5631008,17.7812996,0.8745,-16.0275421,8.1020088,0.1934662
162127,428448,-1,233.398730091,3.875126769,0.018672,17.8149014,17.7831001,0.8419,-15.9432669,8.2317524,0.3081417
355115,1044753,-1,229.576570053,31.188880669,0.014621,17.6776009,17.7747993,0.9456,-15.4986391,8.1474962,0.400341
228357,637894,-1,172.259734205,7.287756436,0.01874,17.6085014,17.781601,0.9551,-16.1765614,8.1450787,0.1382713
155967,412278,-1,202.611967738,-1.530165795,0.013441,17.2313004,17.7635994,0.9467,-15.755229,8.183073,0.3512449
17417,74691,-1,202.338698029,-0.944229355,0.013608,17.1860008,17.7222996,0.9643,-15.8281536,8.1310511,0.2789164
299217,820692,-1,252.162313306,31.787346601,0.014738,16.7986012,17.7823009,0.9016,-16.4437885,8.3345728,0.2680874
22856,89077,-1,136.210923102,0.743384089,0.012687,17.1816006,17.7726002,0.9074,-15.6966286,8.203866,0.4069281
119362,326344,-1,137.316683291,4.113149615,0.012544,17.2637997,17.7728004,0.864,-15.5841398,8.1730804,0.4481697
180174,506851,-1,29.147713251,-0.534125667,0.015341,17.6575012,17.6714993,0.9623,-15.6446762,8.2235661,0.4441414
256976,708779,-1,328.093634232,-1.171056056,0.015908,17.3879013,17.6818008,0.9683,-16.0311108,8.114747,0.2350798
353840,1038937,-1,251.527788736,22.708172598,0.015524,17.2236004,17.7863998,1.0,-16.1148205,8.2982979,0.3572206
279754,769077,-1,159.874282166,12.492300953,0.021928,17.7937012,17.7991009,0.8907,-16.3186531,8.3141737,0.3028088
1842,8085,-1,45.547442192,-1.166647997,0.013612,17.5305004,17.6441994,0.9882,-15.4742737,8.1449289,0.4505177
127721,348335,-1,192.450586626,4.489901367,0.013973,16.9706001,17.7761002,0.9364,-16.1166935,8.2502098,0.2995701
325077,878873,-1,197.264208894,11.781779541,0.021529,17.5479012,17.7889996,0.8667,-16.489809,8.2620735,0.1228409
353573,1037427,-1,250.552467826,22.406471206,0.017156,17.3599014,17.7924004,0.8699,-16.1951427,8.3030195,0.3320055
4125,21260,-1,24.979250114,-0.254888749,0.01717,17.7222004,17.6601009,0.9429,-15.8090858,8.2718439,0.4792109
87979,251544,-1,25.825775623,-8.310280813,0.018576,17.5202007,17.7905998,0.94,-16.2264214,8.2511835,0.2544003
31838,111416,-1,56.077308839,-6.031407205,0.017146,17.6973,17.7087994,0.9194,-15.7988129,8.2124205,0.3723021
232251,648138,-1,152.149641454,8.069256324,0.018074,17.6736012,17.7914009,0.961,-16.000824,8.2671671,0.366991
265277,733761,-1,180.04208902,10.704459218,0.023244,18.0041008,17.7793999,0.8924,-16.2296638,8.273488,0.2455626
30700,108265,-1,48.453592067,-8.147307523,0.013711,17.0876999,17.6898003,0.8389,-15.9324331,8.0937815,0.1222601
30867,108681,-1,61.151339916,-6.546443115,0.013539,17.2908001,17.6877003,0.8202,-15.6864901,8.0935364,0.2953863
129821,352635,-1,199.030742638,5.202531095,0.020509,17.5179005,17.7837009,0.9484,-16.4237576,8.2730455,0.1891136
87911,251440,-1,21.854665668,-8.689314787,0.013238,17.7143002,17.7922001,0.9583,-15.1897421,8.0089912,0.3570614
84524,243772,-1,13.608789186,-10.191019696,0.021851,17.7912998,17.7898998,0.8198,-16.3064842,8.1113529,0.0679798
96968,272420,-1,9.983235768,-8.853229049,0.013747,17.1497002,17.8013,0.8401,-15.8752308,8.2822723,0.3716745
90796,258631,-1,349.281527502,13.423003217,0.014907,17.1144009,17.7791996,0.8475,-16.1666012,8.1833172,0.216959
265117,733487,-1,173.787247465,10.561089293,0.019733,17.7362003,17.7794991,0.9021,-16.1101112,8.2369108,0.262289
204417,581244,-1,119.033976989,28.559513637,0.01646,17.6977005,17.7889004,0.8129,-15.7207556,8.0717106,0.2705145
97021,272498,-1,12.430715216,-8.72144578,0.018553,17.4521999,17.8013,0.8764,-16.3245869,8.1107006,0.0564919
271500,747720,-1,155.769280733,11.122025491,0.016916,17.6997013,17.7851009,0.8904,-15.7702217,8.1253328,0.2367029
112855,310410,-1,150.269859978,3.331017505,0.012587,17.330101,17.7763996,0.8452,-15.5530815,8.0735102,0.3988867
12781,62622,-1,181.383271715,0.039248023,0.02164,17.2757015,17.7129002,0.8872,-16.7696629,8.6013002,0.389986
172360,464485,-1,348.828811266,-0.989280946,0.027688,17.5868015,17.6660995,0.9589,-17.0471058,8.585989,0.2567291
83386,241123,-1,18.332375822,-10.468752727,0.022748,16.9618015,17.8076,0.9643,-17.229084,8.6436901,0.2372532
5613,29567,-1,37.413625018,0.12327096,0.020191,17.2045002,17.6681004,0.9608,-16.6457367,8.6706381,0.4127789
35359,121409,-1,180.205015133,-1.250347116,0.020961,17.6444016,17.6664009,1.0,-16.3019829,8.4644337,0.4105005
227087,635069,-1,146.491648238,5.251489136,0.021299,16.7481003,17.7632999,0.7884,-17.2496967,8.6777744,0.2445469
140590,376233,-1,205.12415494,4.296110877,0.024881,17.4887009,17.7828999,0.947,-16.8800278,8.4230185,0.1599522
70085,211254,-1,226.882583071,1.132962847,0.02902,17.7651005,17.7845001,1.0,-16.9198647,8.6183987,0.3059921
117136,320996,-1,180.651375275,4.549937959,0.018905,17.1848011,17.7621994,0.9559,-16.5906105,8.6131344,0.4862423
264000,731180,-1,190.09123874,9.415286863,0.027714,17.5558014,17.7963009,0.8345,-17.0673084,8.6764755,0.3353386
23935,90989,-1,199.928570667,0.743022468,0.023818,17.3492012,17.7000008,0.8105,-16.8882637,8.6892748,0.3249035
96679,271766,-1,14.948145107,-9.114647815,0.019144,17.7249012,17.7943001,0.8333,-16.0599461,8.5170803,0.6110392
26782,98626,-1,21.36796264,14.197487915,0.019668,17.4468002,17.6606998,0.9338,-16.4021854,8.3502331,0.2388611
120016,327456,-1,179.172409839,5.721040795,0.038838,17.8150997,17.7793999,0.9408,-17.5708256,8.6849413,0.0824127
114063,313442,-1,141.878877151,3.711384265,0.017853,16.4148998,17.7847996,0.8774,-17.2486763,8.6582747,0.2787991
325042,878819,-1,195.460636637,11.766675665,0.028595,17.6903,17.7889996,0.8966,-16.9798546,8.638278,0.3153095
82235,238367,-1,8.180366799,-11.147382702,0.016472,16.4647007,17.7901993,0.8504,-16.9802361,8.5729895,0.256918
273691,753500,-1,131.397714634,31.256060452,0.025118,17.6099014,17.7943993,0.9731,-16.7344418,8.6194191,0.3972492
38964,132345,-1,143.654175925,0.046067244,0.016375,16.3464012,17.7919006,0.8486,-17.1297474,8.5578938,0.1726761
4161,21354,-1,27.125580001,-0.212756331,0.01848,17.3341007,17.6655998,1.0,-16.3909321,8.4583139,0.4340601
81543,236912,-1,322.765197069,-6.232858359,0.024798,17.3726006,17.8705006,0.9079,-17.0402374,8.4394779,0.1863174
361127,1093702,-1,122.057446886,6.808434616,0.015471,17.2686005,17.7936001,0.8481,-16.0442257,8.4486055,0.5301971
7546,43586,-1,9.730557567,0.992269554,0.026073,17.5881004,17.6357994,0.9863,-16.8779526,8.5850897,0.3184509
115188,316256,-1,153.31787569,5.10796314,0.028476,17.6077003,17.7689991,0.7959,-17.1178761,8.449337,0.1181622
232424,648480,-1,164.849637364,9.100560587,0.02123,17.2293015,17.7924995,0.8604,-16.7673473,8.5924492,0.3467178
281400,776428,-1,138.829084625,10.650363808,0.01735,16.6152,17.7660999,0.8591,-16.9610519,8.6989517,0.3898888
91012,259017,-1,2.168329474,14.009268534,0.017307,17.3390007,17.7800007,0.8747,-16.1877537,8.4936523,0.482769
128918,350812,-1,204.280970945,4.692359838,0.023352,17.4423008,17.7861004,0.8759,-16.7774563,8.6638031,0.4361057
98214,275008,-1,35.245070523,-9.528582071,0.012714,16.1970997,17.8143997,0.904,-16.7118626,8.4816542,0.3269386
127999,348856,-1,208.596811863,4.007097164,0.029363,17.7007999,17.7756004,0.9185,-17.080965,8.6159325,0.3005314
5656,29712,-1,40.3408047,0.058136907,0.022677,17.7059002,17.6697006,0.8,-16.4379158,8.5869865,0.4800253
348852,1004220,-1,255.054553941,22.812882873,0.031893,17.8093014,17.7896996,0.75,-17.1202049,8.6708803,0.2919922
90103,257083,-1,316.647423073,-5.682993807,0.017776,17.1506004,17.7740002,0.8939,-16.4427891,8.6955347,0.5940657
181433,512681,-1,47.888160853,-0.085903416,0.02647,17.4132004,17.6671009,0.9643,-17.1231575,8.5694208,0.1443157
259572,720907,-1,121.678816064,26.161520702,0.014026,17.0671997,17.7821999,0.82,-15.9955864,8.455287,0.5392914
16020,70277,-1,212.546944749,0.86583668,0.02555,17.8369999,17.7122002,1.0,-16.5935326,8.377326,0.244833
172384,464530,-1,350.146603107,-0.880911205,0.014582,16.4224014,17.6660995,0.973,-16.7847233,8.4977436,0.2701206
157761,416761,-1,202.174387082,-2.165842308,0.0216,17.2573013,17.7800999,0.9467,-16.7542534,8.5691071,0.3235703
350436,1010182,-1,254.881782935,21.63725533,0.022378,16.9398003,17.7905006,0.8955,-17.2079582,8.5738401,0.1404991
7149,38734,-1,55.213912582,0.434247268,0.020461,17.4309006,17.6403999,0.9826,-16.4492226,8.417819,0.2875919
166438,443043,-1,334.926469657,14.02509855,0.0257,17.6275005,17.7721996,0.8731,-16.7826157,8.6302481,0.4039936
79462,232446,-1,317.829990602,-7.022703769,0.027279,17.5038013,17.8889999,0.8388,-17.1084957,8.5560474,0.1426544
32490,113904,-1,345.792638944,-0.812178058,0.027231,17.5743999,17.7052002,0.9615,-17.0207787,8.6495476,0.3690376
15543,69374,-1,182.410837619,0.957040384,0.019406,17.4706001,17.7120991,0.9464,-16.356369,8.4718275,0.4490519
271293,747336,-1,144.374791735,9.552136614,0.011157,16.5874004,17.7840004,0.9465,-16.0264244,8.4027519,0.5448866
119691,326907,-1,163.425365335,5.290834092,0.023811,17.2299004,17.7777996,0.8326,-17.0444813,8.6637325,0.3488026
104360,290321,-1,149.363804242,1.872497508,0.032859,17.7569008,17.7936993,0.942,-17.2232857,8.6252174,0.2224026
106729,295430,-1,175.430800864,2.727743412,0.025569,17.3757,17.7992001,0.9386,-17.0315647,8.6637678,-0.1205597
209900,594673,-1,120.843295264,26.008009105,0.021186,17.6720009,17.7884007,0.82,-16.2503567,8.4151688,0.3735971
352965,1027779,-1,212.072572918,12.468111622,0.014059,16.6271,17.7921009,0.8744,-16.4888306,8.3553782,0.2353077
